node_id_a	node_id_b
9606.ENSP00000229319	10298.RNB_HHV11
9606.ENSP00000225983	10298.ICP0_HHV11
9606.ENSP00000303373	10298.RNB_HHV11
9606.ENSP00000323929	10298.US03_HHV11
9606.ENSP00000261182	10298.DNBI_HHV11
9606.ENSP00000320176	10298.US03_HHV11
9606.ENSP00000216274	10298.RIR1_HHV11
9606.ENSP00000278823	10298.VP19_HHV11
9606.ENSP00000378414	10298.DNBI_HHV11
9606.ENSP00000341826	10298.RNB_HHV11
9606.ENSP00000305790	10298.DNBI_HHV11
9606.ENSP00000332816	10298.VP22_HHV11
9606.ENSP00000342886	10298.RNB_HHV11
9606.ENSP00000362744	10298.RNB_HHV11
9606.ENSP00000358635	10298.DNBI_HHV11
9606.ENSP00000286479	10298.US03_HHV11
9606.ENSP00000254436	10298.SHUT_HHV11
9606.ENSP00000295688	10298.US03_HHV11
9606.ENSP00000348849	10298.RNB_HHV11
9606.ENSP00000262746	10298.US03_HHV11
9606.ENSP00000347119	10298.RNB_HHV11
9606.ENSP00000419027	10298.RNB_HHV11
9606.ENSP00000248975	10298.TEG1_HHV11
9606.ENSP00000311430	10298.RNB_HHV11
9606.ENSP00000375863	10298.US03_HHV11
10298.SHUT_HHV11	9606.ENSP00000339001
10298.SHUT_HHV11	9606.ENSP00000265753
10298.SHUT_HHV11	9606.ENSP00000262776
10298.SHUT_HHV11	9606.ENSP00000254436
10298.SHUT_HHV11	9606.ENSP00000359727
10298.SHUT_HHV11	9606.ENSP00000264712
9606.ENSP00000290341	10298.RNB_HHV11
9606.ENSP00000335321	10298.DNBI_HHV11
9606.ENSP00000309555	10298.VP16_HHV11
9606.ENSP00000431822	10298.RNB_HHV11
10298.OBP_HHV11	9606.ENSP00000368349
9606.ENSP00000380033	10298.ICP27_HHV11
9606.ENSP00000293842	10298.RNB_HHV11
9606.ENSP00000379888	10298.RNB_HHV11
9606.ENSP00000265081	10298.DNBI_HHV11
9606.ENSP00000296930	10298.RNB_HHV11
9606.ENSP00000366618	10298.RNB_HHV11
9606.ENSP00000368646	10298.US03_HHV11
9606.ENSP00000418082	10298.RNB_HHV11
9606.ENSP00000302967	10298.ICP0_HHV11
9606.ENSP00000353622	10298.DNBI_HHV11
9606.ENSP00000263205	10298.VP16_HHV11
9606.ENSP00000429374	10298.RNB_HHV11
9606.ENSP00000347232	10298.DNBI_HHV11
9606.ENSP00000262584	10298.RNB_HHV11
9606.ENSP00000418960	10298.DNBI_HHV11
9606.ENSP00000323421	10298.DNBI_HHV11
9606.ENSP00000225430	10298.RNB_HHV11
9606.ENSP00000338020	10298.ICP27_HHV11
9606.ENSP00000361626	10298.RNB_HHV11
9606.ENSP00000350333	10298.DNBI_HHV11
9606.ENSP00000265990	10298.DNBI_HHV11
9606.ENSP00000459789	10298.DNBI_HHV11
9606.ENSP00000343535	10298.DNBI_HHV11
9606.ENSP00000343535	10298.ICP0_HHV11
9606.ENSP00000377892	10298.RNB_HHV11
9606.ENSP00000377958	10298.US03_HHV11
9606.ENSP00000346120	10298.RNB_HHV11
9606.ENSP00000321389	10298.RNB_HHV11
10298.RNB_HHV11	9606.ENSP00000370968
9606.ENSP00000326767	10298.VP16_HHV11
9606.ENSP00000332194	10298.RNB_HHV11
9606.ENSP00000246802	10298.ICP22_HHV11
10298.RNB_HHV11	9606.ENSP00000361076
10298.RNB_HHV11	9606.ENSP00000311430
9606.ENSP00000262435	10298.VP22_HHV11
10298.RNB_HHV11	9606.ENSP00000338477
10298.RNB_HHV11	9606.ENSP00000389103
10298.RNB_HHV11	9606.ENSP00000321744
10298.RNB_HHV11	9606.ENSP00000350275
10298.RNB_HHV11	9606.ENSP00000375730
10298.RNB_HHV11	9606.ENSP00000350028
10298.RNB_HHV11	9606.ENSP00000361927
10298.RNB_HHV11	9606.ENSP00000380177
10298.RNB_HHV11	9606.ENSP00000290341
10298.RNB_HHV11	9606.ENSP00000378917
10298.RNB_HHV11	9606.ENSP00000346015
10298.RNB_HHV11	9606.ENSP00000385479
10298.RNB_HHV11	9606.ENSP00000348849
10298.RNB_HHV11	9606.ENSP00000264954
10298.RNB_HHV11	9606.ENSP00000462023
10298.RNB_HHV11	9606.ENSP00000229319
10298.RNB_HHV11	9606.ENSP00000356520
10298.RNB_HHV11	9606.ENSP00000222247
10298.RNB_HHV11	9606.ENSP00000358151
10298.RNB_HHV11	9606.ENSP00000380156
10298.RNB_HHV11	9606.ENSP00000321389
10298.RNB_HHV11	9606.ENSP00000355656
10298.RNB_HHV11	9606.ENSP00000303373
10298.RNB_HHV11	9606.ENSP00000299198
10298.RNB_HHV11	9606.ENSP00000418082
10298.RNB_HHV11	9606.ENSP00000318646
10298.RNB_HHV11	9606.ENSP00000265100
10298.RNB_HHV11	9606.ENSP00000332194
10298.RNB_HHV11	9606.ENSP00000259469
10298.RNB_HHV11	9606.ENSP00000360922
10298.RNB_HHV11	9606.ENSP00000265594
10298.RNB_HHV11	9606.ENSP00000230050
10298.RNB_HHV11	9606.ENSP00000346067
10298.RNB_HHV11	9606.ENSP00000445175
10298.RNB_HHV11	9606.ENSP00000348706
10298.RNB_HHV11	9606.ENSP00000363018
10298.RNB_HHV11	9606.ENSP00000339795
10298.RNB_HHV11	9606.ENSP00000346027
10298.RNB_HHV11	9606.ENSP00000362900
10298.RNB_HHV11	9606.ENSP00000393393
10298.RNB_HHV11	9606.ENSP00000355657
10298.RNB_HHV11	9606.ENSP00000352442
10298.RNB_HHV11	9606.ENSP00000325875
10298.RNB_HHV11	9606.ENSP00000345156
10298.RNB_HHV11	9606.ENSP00000346012
10298.RNB_HHV11	9606.ENSP00000346088
10298.RNB_HHV11	9606.ENSP00000419425
10298.RNB_HHV11	9606.ENSP00000347119
10298.RNB_HHV11	9606.ENSP00000342886
10298.RNB_HHV11	9606.ENSP00000375736
10298.RNB_HHV11	9606.ENSP00000352119
10298.RNB_HHV11	9606.ENSP00000433821
10298.RNB_HHV11	9606.ENSP00000346001
10298.RNB_HHV11	9606.ENSP00000470004
10298.RNB_HHV11	9606.ENSP00000366618
10298.RNB_HHV11	9606.ENSP00000377892
10298.RNB_HHV11	9606.ENSP00000349168
10298.RNB_HHV11	9606.ENSP00000346022
10298.RNB_HHV11	9606.ENSP00000377640
10298.RNB_HHV11	9606.ENSP00000293842
10298.RNB_HHV11	9606.ENSP00000301072
10298.RNB_HHV11	9606.ENSP00000366679
10298.RNB_HHV11	9606.ENSP00000228251
10298.RNB_HHV11	9606.ENSP00000419027
10298.RNB_HHV11	9606.ENSP00000350580
10298.RNB_HHV11	9606.ENSP00000369757
10298.RNB_HHV11	9606.ENSP00000347271
10298.RNB_HHV11	9606.ENSP00000354739
10298.RNB_HHV11	9606.ENSP00000229239
10298.RNB_HHV11	9606.ENSP00000445831
10298.RNB_HHV11	9606.ENSP00000328484
10298.RNB_HHV11	9606.ENSP00000318195
10298.RNB_HHV11	9606.ENSP00000439189
10298.RNB_HHV11	9606.ENSP00000373730
10298.RNB_HHV11	9606.ENSP00000346120
10298.DPOL_HHV11	9606.ENSP00000263382
9606.ENSP00000264335	10298.TEG1_HHV11
10298.RNB_HHV11	9606.ENSP00000083182
10298.RNB_HHV11	9606.ENSP00000429374
10298.RNB_HHV11	9606.ENSP00000414321
10298.RNB_HHV11	9606.ENSP00000296930
10298.RNB_HHV11	9606.ENSP00000301071
10298.RNB_HHV11	9606.ENSP00000350052
10298.RNB_HHV11	9606.ENSP00000361626
10298.RNB_HHV11	9606.ENSP00000341826
